           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                 370           60.0282329          -37.9156644           22.1125685          145.2211085
                 371           59.8282939          -37.7159344           22.1123595          144.7374133
                 372           59.2644678          -37.1507020           22.1137658          143.3733977
                 373           58.3999270          -36.2805361           22.1193909          141.2818889
                 374           57.3321830          -35.2058259           22.1263571          138.6987883
                 375           56.1819818          -34.0487181           22.1332637          135.9162061
                 376           55.0795424          -32.9398128           22.1397296          133.2491699
                 377           54.1497180          -32.0042950           22.1454230          130.9997261
                 378           53.4977668          -31.3486157           22.1491511          129.4225169
                 379           53.1973623          -31.0464255           22.1509368          128.6957745
                 380           53.2822046          -31.1314836           22.1507210          128.9010261
                 381           53.7421993          -31.5960400           22.1461593          130.0138514
                 382           54.5246363          -32.3852976           22.1393387          131.9067335
                 383           55.5402221          -33.4089570           22.1312651          134.3636525
                 384           56.6732810          -34.5504786           22.1228025          137.1047637
                 385           57.7949704          -35.6815062           22.1134642          139.8183697
                 386           58.7779863          -36.6726277           22.1053586          142.1964950
                 387           59.5110841          -37.4112374           22.0998467          143.9700152
                 388           59.9117617          -37.8156941           22.0960677          144.9393399
                 389           59.9356492          -37.8396050           22.0960443          144.9971288
                 390           59.5815420          -37.4829967           22.0985453          144.1404679
                 391           58.8915013          -36.7885273           22.1029740          142.4711120
                 392           57.9460055          -35.8362798           22.1097258          140.1837560
                 393           56.8547192          -34.7376578           22.1170614          137.5437015
                 394           55.7439344          -33.6192764           22.1246579          134.8564758
                 395           54.7421036          -32.6104254           22.1316782          132.4328333
                 396           53.9651418          -31.8289890           22.1361527          130.5531969
                 397           53.5031628          -31.3650049           22.1381580          129.4355712
                 398           53.4101609          -31.2719403           22.1382206          129.2105796
                 399           53.6978374          -31.5621524           22.1356850          129.9065305
                 400           54.3342566          -32.2043994           22.1298572          131.4461643
                 401           55.2474845          -33.1242554           22.1232291          133.6554576
                 402           56.3338116          -34.2187540           22.1150576          136.2835148
                 403           57.4696081          -35.3637200           22.1058881          139.0312490
                 404           58.5254445          -36.4289556           22.0964889          141.5855425
                 405           59.3808787          -37.2915468           22.0893320          143.6550206
